

Destination Address
Total number of records: 243898
Key,# Records,Probability (count/totalcount),Entropy (-log_2(probability)))
192.168.2.50,64319,0.2637126995711322,1.9229610463730524
192.168.1.11,62073,0.2545039319715619,1.974240149423118
192.168.3.131,33012,0.13535166340027388,2.8852154772674
192.168.0.60,23059,0.09454362069389663,3.402876073786583
192.168.0.13,17072,0.06999647393582563,3.8365739414803417
192.168.1.14,14199,0.05821695954866379,4.102416694845247
192.168.0.14,8494,0.03482603383381577,4.843690008957365
192.168.0.173,3150,0.012915235057278042,6.274782289030125
192.168.1.250,2564,0.01051259132916219,6.571737855686026
192.168.0.174,1701,0.006974226930930143,7.163750976641381
192.168.0.178,1484,0.006084510738095433,7.360643025683963
192.168.0.12,1475,0.00604761006650321,7.369419163168201
192.168.0.10,1184,0.0048544883516880005,7.686465036675817
192.168.1.102,1022,0.004190276263027987,7.898738921367145
192.168.1.252,932,0.0038212695471057574,8.031732257650487
192.168.1.251,771,0.0031611575330671017,8.305331352389732
192.168.0.176,688,0.002820851339494379,8.46965364760267
192.168.0.175,681,0.002792150817144872,8.484407414292695
192.168.0.177,672,0.0027552501455526492,8.503600979526006
192.168.0.179,659,0.002701949175474994,8.531783747296714
192.168.0.180,594,0.0024354443250867164,8.681599281504003
192.168.0.182,581,0.002382143355009061,8.713524048900238
192.168.1.182,560,0.002296041787960541,8.7666353853598
192.168.2.10,502,0.0020582374599217705,8.924374848353995
192.168.0.11,477,0.0019557355943878177,8.998072946299256
192.168.1.231,472,0.0019352352212810273,9.013275352942927
192.168.1.120,412,0.0016892307439995407,9.209417875121549
169.254.8.94,221,0.000906116491320142,10.108015842913336
192.168.0.1,198,0.0008118147750289055,10.266561782225157
192.168.1.230,127,0.0005207094769124798,10.907233715532602
192.168.2.2,98,0.00040180731289309464,11.28120855818956
0.0.0.0,64,0.00026240477576691896,11.895918402304765
192.168.1.71,32,0.00013120238788345948,12.895918402304765
169.254.148.116,23,9.43017162912365e-05,13.372356446247753
